변환,원자료
2011-08-11,"8,741,400,000,000"
2011-08-12,"8,814,000,000,000"
2011-08-16,"6,924,300,000,000"
2011-08-17,"6,263,000,000,000"
2011-08-18,"8,361,600,000,000"
2011-08-19,"9,391,200,000,000"
2011-08-22,"7,070,400,000,000"
2011-08-23,"7,999,200,000,000"
2011-08-24,"7,697,100,000,000"
2011-08-25,"5,918,900,000,000"
2011-08-26,"4,858,200,000,000"
2011-08-29,"6,403,300,000,000"
2011-08-30,"6,363,200,000,000"
2011-08-31,"5,904,800,000,000"
2011-09-01,"8,609,700,000,000"
2011-09-02,"5,421,700,000,000"
2011-09-05,"5,827,500,000,000"
2011-09-06,"6,479,700,000,000"
2011-09-07,"6,058,300,000,000"
2011-09-08,"6,921,200,000,000"
2011-09-09,"5,450,300,000,000"
2011-09-14,"5,781,300,000,000"
2011-09-15,"6,225,600,000,000"
2011-09-16,"7,510,900,000,000"
2011-09-19,"4,916,400,000,000"
2011-09-20,"5,461,900,000,000"
2011-09-21,"5,877,800,000,000"
2011-09-22,"5,705,600,000,000"
2011-09-23,"7,442,800,000,000"
2011-09-26,"7,283,300,000,000"
2011-09-27,"6,098,500,000,000"
2011-09-28,"6,248,700,000,000"
2011-09-29,"6,595,000,000,000"
2011-09-30,"6,149,800,000,000"
2011-10-04,"6,599,400,000,000"
2011-10-05,"7,561,000,000,000"
2011-10-06,"7,770,700,000,000"
2011-10-07,"7,442,600,000,000"
2011-10-10,"4,968,100,000,000"
2011-10-11,"7,030,900,000,000"
2011-10-12,"5,591,500,000,000"
2011-10-13,"6,529,700,000,000"
2011-10-14,"4,990,800,000,000"
2011-10-17,"5,842,300,000,000"
2011-10-18,"5,659,400,000,000"
2011-10-19,"5,695,600,000,000"
2011-10-20,"6,680,300,000,000"
2011-10-21,"6,355,700,000,000"
2011-10-24,"6,664,100,000,000"
2011-10-25,"5,969,600,000,000"
2011-10-26,"5,489,800,000,000"
2011-10-27,"7,817,100,000,000"
2011-10-28,"10,022,900,000,000"
2011-10-31,"6,255,800,000,000"
2011-11-01,"6,196,200,000,000"
2011-11-02,"6,640,000,000,000"
2011-11-03,"6,206,300,000,000"
2011-11-04,"7,089,700,000,000"
2011-11-07,"5,071,500,000,000"
2011-11-08,"5,156,400,000,000"
2011-11-09,"5,474,600,000,000"
2011-11-10,"7,902,900,000,000"
2011-11-11,"5,147,900,000,000"
2011-11-14,"5,185,900,000,000"
2011-11-15,"4,738,300,000,000"
2011-11-16,"5,579,100,000,000"
2011-11-17,"4,666,900,000,000"
2011-11-18,"4,712,700,000,000"
2011-11-21,"3,925,700,000,000"
2011-11-22,"3,818,100,000,000"
2011-11-23,"4,592,400,000,000"
2011-11-24,"6,080,900,000,000"
2011-11-25,"4,158,700,000,000"
2011-11-28,"4,195,400,000,000"
2011-11-29,"6,119,200,000,000"
2011-11-30,"5,994,500,000,000"
2011-12-01,"9,232,400,000,000"
2011-12-02,"5,303,700,000,000"
2011-12-05,"4,094,800,000,000"
2011-12-06,"4,562,600,000,000"
2011-12-07,"5,691,400,000,000"
2011-12-08,"5,849,600,000,000"
2011-12-09,"5,025,100,000,000"
2011-12-12,"5,303,700,000,000"
2011-12-13,"5,210,200,000,000"
2011-12-14,"4,355,600,000,000"
2011-12-15,"5,319,600,000,000"
2011-12-16,"4,292,800,000,000"
2011-12-19,"6,581,500,000,000"
2011-12-20,"3,913,300,000,000"
2011-12-21,"4,887,900,000,000"
2011-12-22,"3,071,400,000,000"
2011-12-23,"4,209,900,000,000"
2011-12-26,"2,972,100,000,000"
2011-12-27,"4,182,600,000,000"
2011-12-28,"3,260,400,000,000"
2011-12-29,"3,365,900,000,000"
2011-12-30,
2012-01-02,"3,231,300,000,000"
2012-01-03,"4,785,300,000,000"
2012-01-04,"4,655,000,000,000"
2012-01-05,"4,793,700,000,000"
2012-01-06,"4,356,700,000,000"
2012-01-09,"4,134,300,000,000"
2012-01-10,"4,772,200,000,000"
2012-01-11,"4,762,000,000,000"
2012-01-12,"5,309,600,000,000"
2012-01-13,"5,955,500,000,000"
2012-01-16,"3,864,800,000,000"
2012-01-17,"5,873,700,000,000"
2012-01-18,"5,952,400,000,000"
2012-01-19,"6,345,500,000,000"
2012-01-20,"7,239,000,000,000"
2012-01-25,"6,065,000,000,000"
2012-01-26,"5,458,600,000,000"
2012-01-27,"6,022,700,000,000"
2012-01-30,"6,327,000,000,000"
2012-01-31,"6,584,900,000,000"
2012-02-01,"7,036,600,000,000"
2012-02-02,"8,594,600,000,000"
2012-02-03,"7,418,200,000,000"
2012-02-06,"7,225,700,000,000"
2012-02-07,"6,501,800,000,000"
2012-02-08,"7,379,300,000,000"
2012-02-09,"7,865,700,000,000"
2012-02-10,"7,499,400,000,000"
2012-02-13,"5,676,000,000,000"
2012-02-14,"6,216,300,000,000"
2012-02-15,"7,604,900,000,000"
2012-02-16,"6,768,100,000,000"
2012-02-17,"7,387,300,000,000"
2012-02-20,"5,954,200,000,000"
2012-02-21,"5,551,900,000,000"
2012-02-22,"6,104,300,000,000"
2012-02-23,"6,270,700,000,000"
2012-02-24,"5,712,000,000,000"
2012-02-27,"5,581,100,000,000"
2012-02-28,"6,255,900,000,000"
2012-02-29,"6,708,800,000,000"
2012-03-02,"5,761,400,000,000"
2012-03-05,"5,058,300,000,000"
2012-03-06,"5,234,300,000,000"
2012-03-07,"4,908,200,000,000"
2012-03-08,"6,243,100,000,000"
2012-03-09,"5,296,100,000,000"
2012-03-12,"4,733,600,000,000"
2012-03-13,"5,582,400,000,000"
2012-03-14,"6,310,500,000,000"
2012-03-15,"5,913,000,000,000"
2012-03-16,"5,093,100,000,000"
2012-03-19,"4,866,700,000,000"
2012-03-20,"5,332,000,000,000"
2012-03-21,"5,083,800,000,000"
2012-03-22,
2012-03-23,
2012-03-26,"4,512,700,000,000"
2012-03-27,"5,076,400,000,000"
2012-03-28,"4,994,100,000,000"
2012-03-29,"4,906,200,000,000"
2012-03-30,"5,247,700,000,000"
2012-04-02,"4,280,400,000,000"
2012-04-03,"5,986,200,000,000"
2012-04-04,"5,766,800,000,000"
2012-04-05,"5,642,700,000,000"
2012-04-06,"4,391,300,000,000"
2012-04-09,"4,275,800,000,000"
2012-04-10,"4,826,000,000,000"
