변환,USD,주식
2011-02-14,1121,5723500000000
2011-02-15,1125,5780700000000
2011-02-16,1124.1,5629000000000
2011-02-17,1115.5,6814800000000
2011-02-18,1114,5821500000000
2011-02-21,1112.3,5878300000000
2011-02-22,1122,6230600000000
2011-02-23,1133,5744800000000
2011-02-24,1127.5,5442700000000
2011-02-25,1129,4935400000000
2011-02-28,1125,4584600000000
2011-03-02,1129,4618900000000
2011-03-03,1125,5129000000000
2011-03-04,1116.5,6045000000000
2011-03-07,1117.8,4675300000000
2011-03-08,1118,5411800000000
2011-03-09,1115.5,6511800000000
2011-03-10,1114.5,7166400000000
2011-03-11,1127,5347100000000
2011-03-14,1124,9464500000000
2011-03-15,1124.5,9755600000000
2011-03-16,1134,6951300000000
2011-03-17,1141,6846800000000
2011-03-18,1133.8,6794200000000
2011-03-21,1126.5,5609300000000
2011-03-22,1122,7409700000000
2011-03-23,1122.5,7506400000000
2011-03-24,1123.5,6558800000000
2011-03-25,1116,7028800000000
2011-03-28,1111.5,6376700000000
2011-03-29,1114.5,6230400000000
2011-03-30,1110,8242800000000
2011-03-31,1101,8274600000000
2011-04-01,1096.2,7118500000000
2011-04-04,1086.5,7965400000000
2011-04-05,1088,6631700000000
2011-04-06,1088.5,8839300000000
2011-04-07,1085,7216100000000
2011-04-08,1088.8,8718200000000
2011-04-11,1082.5,7303600000000
2011-04-12,1088,6902000000000
2011-04-13,1092.5,6831700000000
2011-04-14,1087,9382900000000
2011-04-15,1086,8126600000000
2011-04-18,1086.5,9455300000000
2011-04-19,1093.4,8877700000000
2011-04-20,1085.1,10098800000000
2011-04-21,1080.6,12260100000000
2011-04-22,1081.2,9791300000000
2011-04-25,1080.7,8041800000000
2011-04-26,1083,11356800000000
2011-04-27,1080.7,13134400000000
2011-04-28,1076,10391700000000
2011-04-29,1073,11256800000000
2011-05-02,1069,8315800000000
2011-05-03,1068,8442300000000
2011-05-04,1074,8259700000000
2011-05-06,1091,8475200000000
2011-05-09,1080,5768900000000
2011-05-11,1077.5,7038600000000
2011-05-12,1082,7473700000000
2011-05-13,1085,8539300000000
2011-05-16,1093,6154300000000
2011-05-17,1093.5,5736300000000
2011-05-18,1088,7102500000000
2011-05-19,1087,7779600000000
2011-05-20,1082,6096900000000
2011-05-23,1087,6239200000000
2011-05-24,1100,6012100000000
2011-05-25,1092.5,6846700000000
2011-05-26,1095,7118000000000
2011-05-27,1088,7004500000000
2011-05-30,1079,5657500000000
2011-05-31,1078,9142000000000
2011-06-01,1078,8019400000000
2011-06-02,1082,7190500000000
2011-06-03,1075,6748400000000
2011-06-07,1082.5,6092800000000
2011-06-08,1078,6515900000000
2011-06-09,1085,7239000000000
2011-06-10,1082,7068600000000
2011-06-13,1087,5509600000000
2011-06-14,1085,6118900000000
2011-06-15,1081,5978400000000
2011-06-16,1088,5759200000000
2011-06-17,1089,8014400000000
2011-06-20,1081,6312400000000
2011-06-21,1082.9,6742500000000
2011-06-22,1076.7,6259100000000
2011-06-23,1076.5,5341900000000
2011-06-24,1079,8032700000000
2011-06-27,1083.4,4886200000000
2011-06-28,1082,5754000000000
2011-06-29,1077,5847700000000
2011-06-30,1071,6356200000000
2011-07-01,1067.4,6741500000000
2011-07-04,1064,6677500000000
2011-07-05,1063.4,6307400000000
2011-07-06,1068,7148100000000
2011-07-07,1064,8116900000000
2011-07-08,1060,7145200000000
2011-07-11,1059,5509200000000
2011-07-12,1065.5,6083300000000
2011-07-13,1064.5,6404900000000
2011-07-14,1055,7456400000000
2011-07-15,1057.9,6010400000000
2011-07-18,1059,5997300000000
2011-07-19,1059.7,6047800000000
2011-07-20,1055,8238800000000
2011-07-21,1054,7239500000000
2011-07-22,1050.6,7227700000000
2011-07-25,1052,5813300000000
2011-07-26,1056,6475100000000
2011-07-27,1049.9,6231900000000
2011-07-28,1054,5769900000000
2011-07-29,1053,5938300000000
2011-08-01,1052,6317700000000
2011-08-02,1050,7619800000000
2011-08-03,1057,7952500000000
2011-08-04,1057.1,7536500000000
2011-08-05,1072,10290700000000
2011-08-08,1072.4,10682200000000
2011-08-09,1090,13336400000000
2011-08-10,1075,11076300000000
2011-08-11,1087.1,8741400000000
2011-08-12,1072,8814000000000
2011-08-16,1075,6924300000000
2011-08-17,1073,6263000000000
2011-08-18,1069,8361600000000
2011-08-19,1083,9391200000000
2011-08-22,1084,7070400000000
2011-08-23,1082.5,7999200000000
2011-08-24,1075,7697100000000
2011-08-25,1082,5918900000000
2011-08-26,1088,4858200000000
2011-08-29,1077,6403300000000
2011-08-30,1074,6363200000000
2011-08-31,1072,5904800000000
2011-09-01,1066.5,8609700000000
2011-09-02,1062,5421700000000
2011-09-05,1066,5827500000000
2011-09-06,1070.5,6479700000000
2011-09-07,1072,6058300000000
2011-09-08,1069,6921200000000
2011-09-09,1076.7,5450300000000
2011-09-14,1098,5781300000000
2011-09-15,1104,6225600000000
2011-09-16,1102.5,7510900000000
